app_dataGenerationInterval,constraintAreaMaxX,constraintAreaMaxY,mobility_noOfLocations,mobility_Hosts,mobility_speed,numNodes,app_dataSizeInBytes,forwarding_maximumCacheSize,peakdiskspaceusedbytes,peakramusedsimbytes,peakramusedresultsbytes,totaljobclocktimesec,mobility_nodeId,applicationLayer_KHeraldAppForDifferentiatedTraffic,applicationLayer_KMessengerApp,forwardingLayer_KKeetchiLayer,forwardingLayer_KOptimumDelayRoutingLayer,forwardingLayer_KProphetRoutingLayer,forwardingLayer_KRRSLayer,forwardingLayer_KSpraywaitRoutingLayer,linkLayer_KWirelessInterfaceWithContactTraces,mobilityType_SWIMMobility,mobilityType_ContactTraces
1,0,0,0,0,0.0,62,10000,0,400265306,2959122432,104939520,611.80912,0,1,0,0,1,0,0,0,1,0,1
1,0,0,0,0,0.0,49,10000,100000000,7880888361,2346938368,3782975488,1249.491802,0,1,0,0,0,0,0,0,1,0,1
9,500,500,172,91,1.5,43,10000,5000000,12811180069,2738286592,2613837824,1147.26855,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0.0,54,10000,100000000,8475663516,2291838976,3783290880,972.39384,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,62,10000,100000000,310460097,3196407808,101543936,45.240489,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,62,10000,100000000,310464347,3196407808,101543936,44.473902,0,1,0,0,0,0,0,0,1,0,1
1,200,500,90,50,35.0,10,10000,5000000,5727260869,853843968,771403776,465.060374,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0.0,54,10000,100000000,8475243337,2291838976,3783286784,972.169014,0,1,0,0,0,0,0,0,1,0,1
1,500,500,300,100,1.5,70,100000,1000000,11708434636,4723888128,3882467328,1247.057457,0,0,1,0,0,1,0,0,0,1,0
900,1500,1500,200,500,1.5,50,10000,5000000,8142837272,3093155840,3799887872,723.394159,0,0,0,0,0,0,0,0,0,1,0
9,1000,1000,150,100,1.5,50,10000,100000000,14216102678,3033116672,3906879488,1958.290829,0,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,0.0,49,10000,100000000,7880888361,2346938368,3782975488,1249.491802,0,1,0,0,0,0,0,0,1,0,1
9,1500,1500,200,500,15.0,50,10000,5000000,7698241622,2685235200,3793686528,686.623766,0,0,1,0,0,1,0,0,0,1,0
90,0,0,0,0,0.0,62,100000,5000000,190731040,3252150272,98664448,29.383113,0,0,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,62,10000,100000000,310464452,3196407808,101543936,44.539156,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,54,10000,100000000,8475662727,2291937280,3783286784,961.163361,0,1,0,0,0,0,0,0,1,0,1
9,1500,1500,100,70,1.5,70,10000,5000000,13044384641,2928783360,3875766272,1249.649378,0,0,0,0,0,1,0,0,0,1,0
90,0,0,0,0,0.0,62,1000000,5000000,157673614,1658544128,92524544,23.233085,0,0,1,0,0,0,0,0,1,0,1
9,1500,1500,200,500,15.0,50,10000,5000000,11024046633,2697474048,3831447552,987.04322,0,0,1,0,0,0,0,0,0,1,0
1,0,0,0,0,0.0,54,10000,0,8514044970,2410160128,3807649792,1290.500548,0,1,0,0,1,0,0,0,1,0,1
1,0,0,0,0,0.0,54,10000,100050000,8459264269,2286854144,3783151616,913.051273,0,1,0,0,0,0,0,0,1,0,1
10,500,500,75,50,1.5,50,1000000,0,9442437030,3719643136,3826802688,971.540521,0,0,0,0,0,0,0,0,0,1,0
90,700,600,300,75,25.0,62,10000,5000000,9863577515,2373251072,3803488256,918.937726,0,0,0,0,0,1,0,0,0,1,0
1,500,500,100,50,1.5,25,10000,100000000,15320183673,1787985920,1786695680,2715.901601,0,0,0,0,0,0,1,0,0,1,0
90,500,500,50,25,1.5,25,10000,500000,3956624239,1034174464,1693188096,332.112159,0,0,0,0,0,1,0,0,0,1,0
9,1500,1500,200,500,15.0,50,10000,5000000,7698241622,2685235200,3793686528,686.623766,0,0,1,0,0,1,0,0,0,1,0
1,0,0,0,0,0.0,54,10000,100300000,8441559383,2285195264,3782946816,815.90436,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,62,10000,0,400265306,2959122432,104939520,611.80912,0,1,0,0,1,0,0,0,1,0,1
900,1500,1500,200,500,1.5,60,10000,5000000,9856328685,3678121984,3824893952,886.860443,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0.0,62,10000,100000000,310474424,3196346368,101552128,44.227564,0,1,0,0,0,0,0,0,1,0,1
9,1500,1500,200,500,15.0,50,10000,5000000,7910022080,2668503040,3793911808,972.011167,0,0,1,0,0,0,0,1,0,1,0
1,1500,1500,200,50,1.0,50,10000,5000000,9423543519,2856869888,3824013312,1024.775257,0,0,1,0,0,0,0,1,0,1,0
1,0,0,0,0,0.0,54,10000,0,8514044970,2410160128,3807649792,1290.500548,0,1,0,0,1,0,0,0,1,0,1
1,0,0,0,0,0.0,62,10000,100000000,452122011,2906562560,105046016,56.815197,0,1,0,1,0,0,0,0,1,0,1
1,0,0,0,0,0.0,62,10000,100000000,310464347,3198926848,101543936,44.256,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,62,10000,100000000,414596924,2906099712,102252544,52.251585,0,1,0,1,0,0,0,0,1,0,1
1,0,0,0,0,0.0,54,10000,100000000,8475662590,2291838976,3783290880,965.564103,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,62,10000,100000000,414596924,2906099712,102252544,52.251585,0,1,0,1,0,0,0,0,1,0,1
90,500,500,50,30,1.5,60,100000,0,9410202257,3155517440,3831390208,960.879889,0,0,1,0,0,0,0,1,0,1,0
90,500,500,50,25,1.5,25,10000,500000,3954967213,1033498624,1693188096,345.519227,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,0,0.0,62,10000,100000000,310464343,3198824448,101543936,44.151681,0,1,0,0,0,0,0,0,1,0,1
9,1500,1500,200,500,15.0,50,10000,5000000,7698266684,2684694528,3793686528,705.637117,0,0,1,0,0,1,0,0,0,1,0
1,0,0,0,0,0.0,54,10000,100050000,8459256010,2286817280,3783151616,906.225671,0,1,0,0,0,0,0,0,1,0,1
3,600,600,150,50,5.0,25,500000,100000000,6768907470,1817354240,1710190592,559.29116,0,0,0,0,0,0,1,0,0,1,0
90,0,0,0,0,0.0,62,1000000,5000000,157665516,1713946624,92270592,23.018261,0,0,1,0,0,0,0,1,1,0,1
1,0,0,0,0,0.0,54,10000,100000000,8475243261,2291826688,3783282688,952.834001,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,62,100000,5000000,419558524,1842978816,98566144,50.042153,0,0,0,0,0,1,0,0,1,0,1
90,500,500,50,25,1.5,25,10000,500000,3954967213,1033498624,1693188096,345.519227,0,0,0,0,0,1,0,0,0,1,0
1,500,500,150,50,5.5,25,10000,100000000,14597893895,1788116992,1753047040,2407.462641,0,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,0.0,54,10000,100000000,8475222656,2291838976,3783290880,944.570334,0,1,0,0,0,0,0,0,1,0,1
9,1500,1500,200,500,15.0,50,10000,5000000,9734245669,2370682880,3817926656,839.684548,0,0,1,0,0,0,1,0,0,1,0
1,0,0,0,0,0.0,62,10000,100000000,452122011,2906562560,105046016,56.815197,0,1,0,1,0,0,0,0,1,0,1
1,0,0,0,0,0.0,54,10000,100050000,8459256010,2286817280,3783151616,906.225671,0,1,0,0,0,0,0,0,1,0,1
1,500,500,150,50,5.5,25,10000,100000000,14597893895,1788116992,1753047040,2407.462641,0,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,0.0,62,10000,100000000,310474424,3196346368,101552128,44.227564,0,1,0,0,0,0,0,0,1,0,1
1,500,500,100,50,1.5,25,1000000,999999,12306795208,1740283904,1745240064,937.526811,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0.0,54,10000,100000000,8475223322,2291818496,3783282688,976.537327,0,1,0,0,0,0,0,0,1,0,1
30,1000,1000,100,300,1.5,25,10000,1000000,4628297264,1254899712,1698938880,378.340144,0,0,1,0,0,0,1,0,0,1,0
90,500,500,100,50,1.5,25,10000,100000000,4017687133,1450741760,1699504128,353.126149,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,0,0.0,54,10000,100050000,8459256010,2286817280,3783151616,906.225671,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,54,10000,100000000,8475662590,2291838976,3783290880,965.564103,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,62,10000,100000000,310464343,3198824448,101543936,44.151681,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,62,10000,100000000,310464347,3196407808,101543936,44.473902,0,1,0,0,0,0,0,0,1,0,1
1,500,500,50,30,1.5,30,100000,5000000,5485955741,1763368960,1709486080,485.504061,0,0,1,0,0,0,0,1,0,1,0
1,0,0,0,0,0.0,54,10000,100050000,8459264269,2286854144,3783151616,913.051273,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,54,10000,100300000,8441559383,2285195264,3782946816,815.90436,0,1,0,0,0,0,0,0,1,0,1
9,1500,1500,200,250,15.0,50,10000,5000000,14587472615,3153543168,3885461504,1337.148797,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0.0,62,10000,0,400265306,2959122432,104939520,611.80912,0,1,0,0,1,0,0,0,1,0,1
1,0,0,0,0,0.0,62,1000000,5000000,170293831,1758556160,93536256,24.361732,0,0,1,0,0,0,0,0,1,0,1
9,1500,1500,200,500,15.0,50,10000,5000000,9578410862,2760728576,3814137856,856.254339,0,0,0,1,0,0,0,0,0,1,0
9,1500,1500,200,1000,15.0,50,60400,801000000,11662665740,4420177920,3851526144,4195.53541,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0.0,62,10000,100000000,310464347,3196407808,101543936,44.473902,0,1,0,0,0,0,0,0,1,0,1
9,500,500,150,50,1.5,50,10000,100000000,12450462318,2603696128,3894009856,3056.839374,0,0,1,0,0,0,1,0,0,1,0
9,1500,1500,200,1000,15.0,50,10000,5000000,10905752309,3139923968,3818303488,931.428147,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0.0,62,10000,100000000,310481396,3196346368,101552128,43.828697,0,1,0,0,0,0,0,0,1,0,1
90,0,0,0,0,0.0,62,1000000,100000000,162524248,1272823808,92065792,22.636914,0,0,1,0,0,0,1,0,1,0,1
1,0,0,0,0,0.0,62,10000,100000000,452122011,2906562560,105046016,56.815197,0,1,0,1,0,0,0,0,1,0,1
1,0,0,0,0,0.0,54,10000,100000000,8475223322,2291818496,3783282688,976.537327,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,62,10000,100000000,310464343,3198824448,101543936,44.151681,0,1,0,0,0,0,0,0,1,0,1
9,1500,1500,150,100,1.5,50,10000,500000,9222538352,1925496832,3824570368,833.864431,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,0,0.0,54,10000,100000000,8471453714,2291933184,3783290880,971.942407,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,54,10000,100000000,8475662590,2291838976,3783290880,965.564103,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,62,100000,5000000,505313782,3155013632,104628224,58.125222,0,0,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,62,10000,100000000,310464543,3196407808,101543936,43.967757,0,1,0,0,0,0,0,0,1,0,1
1,500,500,300,100,1.5,70,100000,1000000,11708434636,4723888128,3882467328,1247.057457,0,0,1,0,0,1,0,0,0,1,0
1,0,0,0,0,0.0,62,1000000,10000000,195288698,1761943552,93163520,27.427298,0,0,1,1,0,0,0,0,1,0,1
9,1500,1500,200,500,15.0,50,10000,5000000,11024046633,2697474048,3831447552,987.04322,0,0,1,0,0,0,0,0,0,1,0
1,0,0,0,0,0.0,54,10000,100000000,8475222656,2291838976,3783290880,944.570334,0,1,0,0,0,0,0,0,1,0,1
900,1500,1500,200,500,1.5,70,10000,5000000,11716957558,4260003840,3845046272,1065.218062,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0.0,54,10000,0,8514044970,2410160128,3807649792,1290.500548,0,1,0,0,1,0,0,0,1,0,1
1,0,0,0,0,0.0,62,10000,100000000,310464543,3196407808,101543936,43.967757,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,62,10000,100000000,310474295,3196346368,101552128,44.165026,0,1,0,0,0,0,0,0,1,0,1
90,1500,1500,50,30,1.5,30,100000,5000000,4589434574,1655648256,1698672640,412.501831,0,0,1,0,0,0,0,1,0,1,0
1,0,0,0,0,0.0,62,10000,100000000,310460097,3196407808,101543936,45.240489,0,1,0,0,0,0,0,0,1,0,1
90,500,500,100,50,1.5,25,10000,100000000,3812384018,1233383424,1693335552,348.409387,0,0,1,1,0,0,0,0,0,1,0
1,500,500,50,30,1.5,30,1000000,1000000,14865510325,2781900800,1767211008,1843.212852,0,0,0,0,0,0,0,1,0,1,0
1,700,700,100,40,1.5,20,500000,5000000,9824250906,1497645056,1165520896,754.272876,0,0,0,0,0,0,0,0,0,1,0
90,0,0,0,0,0.0,62,100000,100000000,177853810,2919796736,99094528,25.917228,0,0,0,0,0,0,1,0,1,0,1
90,1000,1000,500,200,1.5,70,100000,5000000,10721588201,3850821632,3812327424,958.211617,0,0,1,0,0,1,0,0,0,1,0
1,0,0,0,0,0.0,54,10000,100050000,8459270544,2286854144,3783151616,888.067032,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,54,10000,100000000,8475663516,2291838976,3783290880,972.39384,0,1,0,0,0,0,0,0,1,0,1
90,1000,1000,400,100,35.0,70,10000,5000000,10806506421,3612299264,3807870976,1091.435756,0,0,1,0,0,0,0,1,0,1,0
1,0,0,0,0,0.0,62,10000,100000000,296295397,2969718784,100687872,39.020864,0,1,0,0,0,0,1,0,1,0,1
9,1500,1500,100,70,1.5,70,100000,1000000,13087957363,2911076352,3894992896,1246.3023,0,0,0,0,0,1,0,0,0,1,0
90,500,500,300,100,15.0,30,100000,5000000,4798954385,1923354624,1696698368,404.277938,0,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0.0,62,10000,100000000,310460097,3196407808,101543936,45.240489,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,54,10000,100000000,8475243337,2291838976,3783286784,972.169014,0,1,0,0,0,0,0,0,1,0,1
10,500,500,75,50,1.5,50,1000000,0,9442437030,3719643136,3826802688,971.540521,0,0,0,0,0,0,0,0,0,1,0
1,500,500,100,50,1.5,25,10000,5000000,14793551599,1850028032,1767804928,1201.150588,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0.0,54,10000,100050000,8459256010,2286817280,3783151616,906.225671,0,1,0,0,0,0,0,0,1,0,1
90,500,500,50,30,10.0,30,100000,5000000,4611433382,1661952000,1699717120,411.479971,0,0,1,0,0,0,0,1,0,1,0
1,0,0,0,0,0.0,54,10000,100300000,8441559383,2285195264,3782946816,815.90436,0,1,0,0,0,0,0,0,1,0,1
9,1500,1500,200,500,15.0,50,10000,5000000,9578410862,2760728576,3814137856,856.254339,0,0,0,1,0,0,0,0,0,1,0
9,500,500,100,50,15.0,50,10000,5000000,17381101994,3158757376,3972313088,1533.367162,0,0,0,0,0,0,0,0,0,1,0
1,500,500,130,50,1.5,15,10000,100000000,8526975625,1145602048,1160388608,1517.798475,0,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,0.0,54,10000,100000000,8475662590,2291838976,3783290880,965.564103,0,1,0,0,0,0,0,0,1,0,1
1,500,500,120,40,10.0,10,10000,5000000,2364392558,691175424,763359232,207.862526,0,0,1,0,0,0,0,1,0,1,0
9,1500,1500,200,500,15.0,50,10000,5000000,7665990907,2339323904,3797061632,698.081612,0,0,1,1,0,0,0,0,0,1,0
90,500,500,150,60,1.5,30,100000,5000000,4587961892,1661206528,1700098048,403.096781,0,0,1,0,0,0,0,1,0,1,0
90,1700,1700,200,120,9.5,70,10000,5000000,12539122981,4253233152,3848507392,1104.060373,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0.0,54,10000,100000000,8475663516,2291838976,3783290880,972.39384,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,54,10000,100000000,8471455762,2291838976,3783286784,985.008823,0,1,0,0,0,0,0,0,1,0,1
1,500,500,100,50,1.5,25,10000,100000000,6258266412,1472774144,1713258496,2036.540557,0,0,1,0,0,0,1,0,0,1,0
1,1500,1500,200,50,1.0,50,10000,5000000,9423543519,2856869888,3824013312,1024.775257,0,0,1,0,0,0,0,1,0,1,0
1,0,0,0,0,0.0,49,10000,0,7637444838,2128134144,3780259840,1110.942983,0,1,0,0,1,0,0,0,1,0,1
1,0,0,0,0,0.0,62,10000,100000000,310464343,3198824448,101543936,44.151681,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,62,10000,100000000,310464543,3196407808,101543936,43.967757,0,1,0,0,0,0,0,0,1,0,1
9,500,500,150,50,1.5,50,100000,1000000,10513100811,2922442752,3873853440,907.453231,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,0,0.0,54,10000,100000000,8346826353,2260934656,3783897088,670.687562,0,1,0,1,0,0,0,0,1,0,1
9,1500,1500,200,1000,15.0,50,10000,5000000,10905752309,3139923968,3818303488,931.428147,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0.0,54,10000,100000000,8475663516,2291838976,3783290880,972.39384,0,1,0,0,0,0,0,0,1,0,1
9,1000,1000,150,100,1.5,50,10000,100000000,14216102678,3033116672,3906879488,1958.290829,0,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,0.0,54,10000,100000000,8475222656,2291838976,3783290880,944.570334,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,54,10000,100000000,8475662727,2291937280,3783286784,961.163361,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,62,10000,100000000,310460097,3196407808,101543936,45.240489,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,62,1000000,100000000,174850893,1448898560,92782592,23.982661,0,0,1,0,0,0,1,0,1,0,1
9,500,500,100,100,15.0,50,100000,5000000,10789258739,3139694592,3843702784,947.781976,0,0,0,0,0,0,0,0,0,1,0
9,1000,1000,100,50,1.0,50,10000,5000000,8117101701,2691747840,3809882112,927.776051,0,0,1,0,0,0,0,1,0,1,0
1,0,0,0,0,0.0,62,10000,100000000,310464543,3196407808,101543936,43.967757,0,1,0,0,0,0,0,0,1,0,1
90,500,500,50,30,1.5,60,100000,0,9410202257,3155517440,3831390208,960.879889,0,0,1,0,0,0,0,1,0,1,0
1,0,0,0,0,0.0,54,10000,100000000,8475222656,2291838976,3783290880,944.570334,0,1,0,0,0,0,0,0,1,0,1
90,500,500,50,30,1.5,30,100000,5000000,4606837644,1664061440,1700302848,416.286447,0,0,1,0,0,0,0,1,0,1,0
1,500,500,100,50,15.0,50,1000000,1000000,24905080275,3350736896,3954372608,1962.174022,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0.0,54,10000,100000000,8475243337,2291838976,3783286784,972.169014,0,1,0,0,0,0,0,0,1,0,1
9,1500,1500,200,1000,15.0,50,40600,602000000,12520413783,4529381376,3861692416,4605.23553,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0.0,54,10000,100050000,8459270544,2286854144,3783151616,888.067032,0,1,0,0,0,0,0,0,1,0,1
9,1500,1500,200,250,15.0,50,10000,5000000,14587472615,3153543168,3885461504,1337.148797,0,0,0,0,0,0,0,0,0,1,0
1,1000,0,100,25,1.5,25,1000000,1000000,10751293474,1188143104,1719017472,891.266158,0,0,0,0,0,1,0,0,0,1,0
90,500,500,50,30,1.5,30,100000,5000000,4837924952,1925844992,1700032512,413.03939,0,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0.0,54,10000,100000000,8475222656,2291838976,3783290880,944.570334,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,54,10000,100050000,8459270544,2286854144,3783151616,888.067032,0,1,0,0,0,0,0,0,1,0,1
1,500,500,75,50,1.5,50,1000000,0,25071964336,8063668224,3907334144,5934.689841,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0.0,54,10000,100300000,8441559383,2285195264,3782946816,815.90436,0,1,0,0,0,0,0,0,1,0,1
90,500,500,300,100,15.0,30,100000,5000000,4798954385,1923354624,1696698368,404.277938,0,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0.0,62,10000,100000000,310464452,3196407808,101543936,44.539156,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,54,10000,100000000,8475249700,2291822592,3783282688,1009.393318,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,54,10000,100000000,8475143671,2291933184,3783286784,911.656508,0,1,0,0,0,0,0,0,1,0,1
9,1500,1500,200,1000,15.0,50,10000,5000000,10905752309,3139923968,3818303488,931.428147,0,0,0,0,0,0,0,0,0,1,0
9,1500,1500,100,70,1.5,70,100000,1000000,13087957363,2911076352,3894992896,1246.3023,0,0,0,0,0,1,0,0,0,1,0
1,500,500,100,50,1.5,25,10000,5000000,14794035918,1850028032,1767804928,1200.927608,0,0,0,0,0,0,0,0,0,1,0
1,500,500,100,50,1.5,25,10000,100000000,15320183673,1787985920,1786695680,2715.901601,0,0,0,0,0,0,1,0,0,1,0
30,1000,1000,100,300,1.5,25,10000,1000000,4628297264,1254899712,1698938880,378.340144,0,0,1,0,0,0,1,0,0,1,0
1,500,500,100,50,15.0,50,1000000,1000000,24905080275,3350736896,3954372608,1962.174022,0,0,0,0,0,0,0,0,0,1,0
1,500,500,150,50,5.5,25,1000000,1000000,12240656610,2031202304,1732976640,1384.806718,0,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,0.0,54,10000,100050000,8459264269,2286854144,3783151616,913.051273,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,62,10000,100000000,310471514,3196608512,101552128,43.747602,0,1,0,0,0,0,0,0,1,0,1
9,1500,1500,200,500,15.0,50,10000,5000000,7698266684,2684694528,3793686528,705.637117,0,0,1,0,0,1,0,0,0,1,0
1,0,0,0,0,0.0,54,10000,100000000,8475243337,2291838976,3783286784,972.169014,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,62,10000,100000000,310464347,3198926848,101543936,44.256,0,1,0,0,0,0,0,0,1,0,1
1,500,500,150,75,1.5,25,1000000,1000000,12317070404,1703636992,1746595840,950.433293,0,0,0,1,0,0,0,0,0,1,0
90,500,500,50,30,1.5,30,1000000,5000000,4594242084,1655103488,1699069952,405.743013,0,0,1,0,0,0,0,1,0,1,0
9,500,500,100,50,15.0,50,10000,5000000,17381101994,3158757376,3972313088,1533.367162,0,0,0,0,0,0,0,0,0,1,0
90,1700,1700,200,120,9.5,70,10000,5000000,12539122981,4253233152,3848507392,1104.060373,0,0,0,0,0,0,0,0,0,1,0
90,1000,1000,500,200,1.5,70,100000,5000000,10721588201,3850821632,3812327424,958.211617,0,0,1,0,0,1,0,0,0,1,0
1,0,0,0,0,0.0,62,10000,100000000,310464347,3196407808,101543936,44.473902,0,1,0,0,0,0,0,0,1,0,1
9,500,500,150,50,1.5,50,100000,1000000,10513100811,2922442752,3873853440,907.453231,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,0,0.0,54,10000,100050000,8459256010,2286817280,3783151616,906.225671,0,1,0,0,0,0,0,0,1,0,1
9,500,500,100,50,15.0,50,10000,5000000,21805858845,2704019456,3961069568,2070.04358,0,0,1,0,0,0,0,0,0,1,0
1,0,0,0,0,0.0,62,10000,100000000,310464543,3196407808,101543936,43.967757,0,1,0,0,0,0,0,0,1,0,1
9,1500,1500,200,500,15.0,50,10000,5000000,9734229107,2370682880,3817926656,856.661702,0,0,1,0,0,0,1,0,0,1,0
1,0,0,0,0,0.0,54,10000,100000000,8475662590,2291838976,3783290880,965.564103,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,54,10000,100000000,8475249700,2291822592,3783282688,1009.393318,0,1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0.0,62,10000,100000000,310464543,3196407808,101543936,43.967757,0,1,0,0,0,0,0,0,1,0,1
9,500,500,172,91,1.5,43,10000,5000000,12811180069,2738286592,2613837824,1147.26855,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0.0,62,10000,100000000,310467176,3196387328,101552128,45.686954,0,1,0,0,0,0,0,0,1,0,1
